Student_ID,SSC_Percentage,HSC_Percentage,Degree_Percentage,Entrance_Exam_Score,CGPA,Technical_Skill_Score,Soft_Skill_Score,Internship_Count,Live_Projects,Work_Experience_Months,Certifications,Attendance_Percentage,History_of_Backlogs,Placement_Status,Salary_Package_LPA
STU0038,92.58,77.00,70.69,93.35,9.50,85.17,86.65,2,0,0,1,88.61,0,Placed,9.82
STU0039,72.38,68.09,55.15,43.42,6.40,61.40,56.92,0,0,0,0,70.24,0,Not Placed,0
STU0040,86.91,89.67,74.22,76.16,9.63,90.10,92.07,0,3,9,0,89.22,0,Placed,8.66
STU0041,50.86,50.79,62.02,69.15,7.82,64.71,54.34,0,1,0,0,69.72,1,Not Placed,0
STU0042,77.06,75.43,88.77,88.09,9.09,85.54,79.21,1,0,0,1,94.41,0,Placed,9.72
STU0043,52.53,50.81,53.91,52.96,5.71,62.88,60.36,0,1,0,0,66.76,2,Not Placed,0
STU0044,83.84,80.70,76.46,80.71,7.68,78.89,74.00,2,1,0,2,83.98,0,Placed,7.67
STU0045,70.05,91.14,93.24,67.79,7.51,83.99,84.98,0,1,0,0,96.39,0,Placed,7.24
STU0046,70.40,80.20,86.65,65.07,9.79,93.07,87.83,0,4,0,1,98.62,0,Placed,10.43
STU0047,58.66,59.31,61.63,59.75,7.72,51.75,59.45,0,1,0,0,67.36,2,Not Placed,0
STU0048,82.18,81.08,72.55,73.44,8.29,82.22,76.72,1,4,9,1,85.32,0,Placed,7.94
STU0049,72.55,94.51,92.51,76.48,9.63,79.59,89.30,3,2,0,2,93.78,0,Placed,10.87
STU0050,80.11,85.24,93.63,78.09,9.24,83.79,72.47,0,1,0,2,96.01,0,Placed,8.77
STU0051,64.27,68.82,61.45,60.86,6.11,64.34,64.60,1,0,0,0,60.90,0,Not Placed,0
STU0052,67.04,56.05,53.35,56.60,7.17,62.42,62.60,1,0,0,0,62.59,1,Not Placed,0
STU0053,50.30,69.79,51.31,66.26,7.71,57.23,52.39,1,0,0,0,62.79,1,Not Placed,0
STU0054,87.20,72.48,82.94,91.99,7.62,94.31,79.17,2,3,0,2,92.44,0,Placed,7.68
STU0055,72.45,83.09,76.56,75.23,8.32,89.30,73.00,3,1,9,2,89.93,0,Placed,8.80
STU0056,92.25,89.07,92.58,72.68,9.55,82.02,89.03,2,4,0,0,81.99,0,Placed,10.81
STU0057,92.60,76.37,76.59,71.24,9.62,90.42,79.97,0,1,2,2,91.74,0,Placed,8.73
STU0058,60.69,52.40,64.85,52.03,6.72,56.81,53.25,1,0,0,0,63.31,1,Not Placed,0
STU0059,76.69,79.14,86.47,80.04,9.23,89.43,94.48,0,1,2,2,96.50,0,Placed,9.67
STU0060,93.47,74.01,94.28,68.30,7.79,92.80,76.66,1,3,10,1,91.15,0,Placed,7.64
STU0061,89.15,85.96,89.80,66.19,9.66,88.03,76.04,0,4,0,2,93.28,0,Placed,10.11
STU0062,86.15,93.39,71.97,84.22,8.24,93.54,92.77,2,4,0,1,92.65,0,Placed,9.00
STU0063,86.78,73.52,87.73,71.58,9.11,93.89,76.82,0,0,0,0,82.25,0,Placed,7.95
STU0064,54.92,64.99,72.73,58.21,6.48,58.54,54.06,1,1,0,0,68.72,0,Not Placed,0
STU0065,86.80,71.01,86.78,68.81,8.21,75.56,92.57,3,4,0,0,91.90,0,Placed,9.78
STU0066,90.94,72.94,80.59,76.82,9.89,79.41,83.80,0,3,11,2,83.63,0,Placed,10.10
STU0067,56.71,73.51,58.51,46.63,7.23,57.06,64.25,0,0,0,0,75.68,2,Not Placed,0
STU0068,72.27,55.30,64.57,64.84,7.49,59.72,64.75,1,0,0,0,63.24,1,Not Placed,0
STU0069,82.50,73.73,79.55,92.90,9.87,77.00,89.06,0,2,6,2,81.03,0,Placed,9.67
STU0070,64.51,63.03,67.28,42.91,7.34,62.08,71.56,0,1,0,0,68.93,1,Not Placed,0
STU0071,78.05,84.02,74.12,70.10,8.35,87.76,85.33,1,3,0,0,96.70,0,Placed,7.51
STU0072,70.74,77.14,82.24,78.22,8.74,76.69,77.84,0,4,0,2,89.93,0,Placed,7.19
STU0073,70.23,80.58,78.40,79.55,9.42,76.13,73.46,0,3,0,0,98.54,0,Placed,10.07
STU0074,86.90,94.62,83.80,84.28,8.29,81.82,70.72,3,0,4,0,94.63,0,Placed,9.62
STU0075,57.86,69.16,67.98,47.96,7.03,55.56,73.60,0,0,0,0,74.59,2,Not Placed,0
STU0076,64.36,50.36,62.16,47.09,7.33,65.48,53.81,1,1,0,0,70.15,1,Not Placed,0
STU0077,70.86,71.09,90.54,73.65,9.49,81.36,85.56,0,0,0,0,83.42,0,Placed,10.21
STU0078,76.72,81.55,90.59,93.50,8.65,84.00,94.51,0,4,0,2,83.99,0,Placed,7.98
STU0079,81.31,81.01,77.33,66.21,9.65,76.84,82.86,3,0,0,2,89.07,0,Placed,11.26
STU0080,83.69,82.85,94.71,67.79,8.16,92.30,73.23,3,2,0,2,87.67,0,Placed,8.91
STU0081,76.46,90.12,75.52,76.21,9.61,91.75,92.35,1,2,10,1,81.26,0,Placed,9.16
STU0082,70.23,85.50,88.16,71.61,9.12,76.05,83.99,0,1,0,1,83.24,0,Placed,8.74
STU0083,81.94,88.69,80.49,82.84,8.35,91.12,76.97,0,0,0,2,98.44,0,Placed,7.52
STU0084,60.87,64.49,63.80,49.17,7.39,63.24,60.64,1,1,0,0,70.96,2,Not Placed,0
STU0085,65.26,67.79,57.30,57.41,5.71,57.32,68.84,0,0,0,0,63.92,0,Not Placed,0
STU0086,70.12,81.56,77.26,77.77,8.56,93.77,90.86,2,1,0,0,85.08,0,Placed,9.81
STU0087,78.30,92.52,80.40,74.62,9.40,79.43,92.70,0,3,0,0,92.43,0,Placed,9.38
STU0088,80.77,72.95,90.12,91.17,9.27,86.64,90.36,1,4,0,2,80.47,0,Placed,10.03
STU0089,78.25,78.08,73.04,91.97,7.71,91.80,81.74,3,4,0,2,89.85,0,Placed,8.91
STU0090,71.79,53.63,73.10,41.70,6.56,52.56,69.77,0,1,0,0,64.84,0,Not Placed,0
STU0091,68.73,55.49,69.26,54.66,7.27,59.36,68.93,0,1,0,0,66.50,2,Not Placed,0
STU0092,56.57,50.60,74.22,56.63,5.50,53.14,66.72,1,0,0,0,61.93,0,Not Placed,0
STU0093,77.38,74.62,93.32,87.64,9.40,86.65,94.37,1,3,0,1,82.56,0,Placed,10.07
STU0094,78.12,86.95,84.91,86.77,8.75,92.54,72.30,1,1,0,1,84.66,0,Placed,9.32
STU0095,84.29,76.78,89.82,80.62,8.43,75.50,74.35,2,4,0,0,98.35,0,Placed,8.67
STU0096,94.00,74.49,72.78,75.12,8.97,91.60,93.05,1,0,3,0,84.40,0,Placed,8.70
STU0097,53.79,52.95,64.64,42.95,7.11,63.01,73.81,1,0,0,0,76.29,2,Not Placed,0
STU0098,74.34,94.33,79.35,73.34,8.70,80.55,74.21,1,0,0,1,81.32,0,Placed,7.94
STU0099,53.54,66.24,73.58,50.63,6.47,59.42,69.45,1,1,0,0,78.88,2,Not Placed,0
STU0100,90.15,72.79,76.74,88.69,8.60,86.46,80.59,2,1,0,2,91.42,0,Placed,9.70
STU0101,83.10,72.28,80.38,74.33,9.82,91.99,75.17,1,3,0,2,84.38,0,Placed,9.33
STU0102,64.85,74.25,50.34,59.35,7.74,55.86,72.36,1,1,0,0,69.27,1,Not Placed,0
STU0103,77.11,91.00,80.34,94.32,8.21,75.76,78.43,1,2,0,1,92.15,0,Placed,7.46
STU0104,88.28,88.26,71.52,74.75,7.88,94.35,76.54,0,2,2,2,90.94,0,Placed,6.99
STU0105,78.68,79.55,78.81,92.58,8.27,90.85,81.09,3,1,8,2,94.37,0,Placed,8.28
STU0106,82.42,92.47,88.07,73.54,8.64,83.82,84.79,3,4,0,2,88.23,0,Placed,9.18
STU0107,74.21,55.30,57.42,61.14,6.59,66.02,72.80,0,1,0,0,75.37,2,Not Placed,0
STU0108,52.20,56.40,65.19,41.85,5.86,64.49,50.65,0,1,0,0,62.92,2,Not Placed,0
STU0109,62.38,65.58,55.53,61.81,6.76,52.72,67.66,0,0,0,0,63.61,0,Not Placed,0
STU0110,75.67,82.53,70.57,88.93,9.08,84.23,89.40,0,1,0,1,83.61,0,Placed,7.78
STU0111,51.01,70.97,51.30,55.24,7.41,51.40,58.49,1,1,0,0,67.84,0,Not Placed,0
STU0112,83.58,79.34,89.07,83.52,8.36,90.96,70.92,0,3,0,0,97.32,0,Placed,7.90
STU0113,71.78,72.46,84.93,76.44,7.58,89.33,74.94,3,3,0,0,93.01,0,Placed,8.32
STU0114,84.00,74.41,88.52,69.47,8.44,92.51,75.76,1,4,0,1,90.76,0,Placed,8.65
STU0115,56.56,66.19,64.15,46.79,6.48,59.90,67.30,1,1,0,0,62.86,2,Not Placed,0
STU0116,58.22,52.85,59.50,56.54,6.19,50.29,51.92,0,0,0,0,68.06,2,Not Placed,0
STU0117,66.22,67.74,66.30,59.57,7.17,59.37,64.80,0,0,0,0,73.29,0,Not Placed,0
STU0118,84.95,82.17,90.08,92.38,9.07,79.09,76.53,3,3,10,1,95.55,0,Placed,9.76
STU0119,80.68,72.47,82.29,78.58,9.42,76.90,83.91,3,0,0,1,94.74,0,Placed,10.64
STU0120,71.66,72.40,85.16,75.45,8.79,88.66,80.12,0,0,0,1,86.26,0,Placed,8.42
STU0121,72.23,73.02,72.33,69.41,9.85,87.31,94.13,3,2,0,2,82.69,0,Placed,10.81
STU0122,58.69,67.33,70.61,52.16,7.15,63.23,53.45,1,0,0,0,67.57,0,Not Placed,0
STU0123,85.14,86.99,71.32,92.37,8.39,79.05,91.19,0,4,0,1,88.37,0,Placed,6.97
STU0124,58.09,67.47,60.92,64.07,7.06,51.40,73.44,0,1,0,0,75.49,0,Not Placed,0
STU0125,85.63,92.38,91.82,68.30,9.87,82.63,72.05,1,3,0,0,95.31,0,Placed,10.91
STU0126,81.89,71.48,91.58,68.39,9.89,87.74,87.90,0,1,0,0,87.55,0,Placed,10.26
STU0127,63.40,51.32,74.66,43.60,6.04,69.86,64.97,1,0,0,0,73.57,2,Not Placed,0
STU0128,76.15,79.56,89.44,92.51,9.15,86.04,93.05,0,2,0,2,88.61,0,Placed,8.59
STU0129,82.19,80.08,75.94,65.41,9.30,86.42,73.23,1,3,0,0,95.97,0,Placed,9.41
STU0130,57.06,67.63,65.58,62.53,6.58,51.40,65.09,0,1,0,0,63.72,2,Not Placed,0
STU0131,74.35,70.88,91.33,88.50,7.79,85.80,88.95,2,4,0,2,91.44,0,Placed,7.56
STU0132,81.71,86.65,76.98,70.25,9.04,81.15,87.91,1,1,0,0,80.51,0,Placed,8.74
STU0133,56.12,58.68,51.54,51.58,6.47,62.46,57.49,1,1,0,0,70.75,0,Not Placed,0
STU0134,93.48,79.85,78.67,67.62,7.52,91.76,91.37,3,2,0,2,84.62,0,Placed,7.35
STU0135,54.40,72.61,59.65,69.97,6.18,58.08,67.48,0,1,0,0,78.02,1,Not Placed,0
STU0136,59.37,70.89,68.63,56.05,7.74,65.49,56.71,1,1,0,0,64.00,0,Placed,6.80
STU0137,88.72,77.12,81.97,67.78,9.61,89.13,81.28,0,4,0,0,96.61,0,Placed,8.99
STU0138,56.93,52.35,73.43,69.05,6.29,66.24,51.50,1,1,0,0,78.24,1,Not Placed,0
STU0139,61.86,59.10,74.25,62.13,6.04,57.48,59.35,0,1,0,0,63.82,1,Not Placed,0
STU0140,52.54,60.78,56.65,42.18,6.87,53.09,64.71,0,1,0,0,78.30,1,Not Placed,0
STU0141,85.29,79.33,77.20,74.34,8.22,86.47,81.41,2,0,0,1,81.12,0,Placed,8.72
STU0142,66.38,57.66,71.08,44.76,6.73,69.47,50.90,0,1,0,0,60.63,2,Not Placed,0
STU0143,74.46,92.13,78.74,92.16,9.41,76.58,80.88,0,4,11,0,84.11,0,Placed,8.66
STU0144,94.89,92.32,94.40,87.94,8.57,82.46,88.92,3,1,0,2,98.16,0,Placed,9.47
STU0145,83.97,73.51,92.07,74.52,7.80,76.54,72.46,0,1,0,0,95.76,0,Placed,6.50
STU0146,77.17,80.60,72.24,84.97,8.49,76.68,74.80,2,4,0,0,84.86,0,Placed,9.62
STU0147,57.03,68.06,72.72,41.35,5.91,56.06,54.40,1,1,0,0,73.65,1,Not Placed,0
STU0148,77.44,77.23,77.54,88.48,8.20,80.35,94.68,0,4,0,0,96.89,0,Placed,7.40
STU0149,75.49,81.20,85.24,77.11,7.71,92.26,79.26,0,2,0,2,97.76,0,Placed,6.80
STU0150,55.56,64.07,69.23,41.88,7.36,53.72,51.18,1,1,0,0,72.90,0,Not Placed,0
STU0151,61.94,71.92,54.37,58.26,7.01,53.01,65.58,0,0,0,0,71.27,2,Not Placed,0
STU0152,50.89,56.83,51.64,50.51,7.68,63.27,51.58,1,1,0,0,67.20,1,Not Placed,0
STU0153,53.31,62.42,64.06,54.90,6.02,59.62,65.53,0,0,0,0,74.97,2,Not Placed,0
STU0154,54.84,57.25,66.36,41.26,6.44,62.49,51.81,0,1,0,0,77.87,0,Not Placed,0
STU0155,56.12,67.22,63.99,51.55,6.27,59.21,54.02,0,0,0,0,72.12,2,Not Placed,0
STU0156,90.27,84.04,93.53,69.58,9.73,81.62,75.82,2,3,0,1,85.80,0,Placed,10.56
STU0157,56.30,65.02,71.32,66.03,5.59,63.52,53.88,0,1,0,0,61.71,0,Not Placed,0
STU0158,84.32,93.70,75.14,69.80,8.06,90.43,90.03,3,4,3,2,94.81,0,Placed,8.05
STU0159,89.27,79.89,76.88,66.00,8.33,90.08,93.20,0,0,0,2,85.26,0,Placed,7.84
STU0160,84.66,74.09,90.67,68.96,9.72,79.62,82.10,0,4,0,1,80.63,0,Placed,9.70
STU0161,56.93,50.19,68.22,48.82,5.56,66.99,57.78,0,1,0,0,72.54,1,Not Placed,0
STU0162,86.20,73.82,81.68,71.09,9.37,79.90,88.87,2,4,0,0,84.26,0,Placed,10.13
STU0163,71.78,78.38,81.19,70.13,8.12,77.19,93.88,3,0,6,2,97.86,0,Placed,8.74
STU0164,65.87,68.16,55.69,40.76,7.03,59.13,51.04,0,1,0,0,61.30,2,Not Placed,0
STU0165,59.78,69.07,72.68,41.75,7.50,54.90,74.23,1,1,0,0,75.64,1,Not Placed,0
STU0166,53.98,67.97,72.58,56.95,7.38,63.04,67.50,0,1,0,0,60.58,1,Not Placed,0
STU0167,52.41,72.37,71.90,51.15,6.03,61.21,72.17,1,0,0,0,78.64,2,Not Placed,0
STU0168,79.70,77.77,80.11,70.60,7.61,93.83,76.83,3,4,5,2,84.88,0,Placed,8.33
STU0169,55.63,67.88,68.10,51.64,5.70,60.41,63.44,1,0,0,0,69.87,0,Not Placed,0
STU0170,77.69,92.00,74.63,76.76,9.09,79.36,92.56,2,1,6,0,86.30,0,Placed,8.79
STU0171,54.81,70.26,74.79,59.18,7.61,54.37,53.16,1,0,0,0,78.58,2,Not Placed,0
STU0172,70.42,87.85,74.63,73.14,9.19,88.69,83.27,3,2,0,0,83.34,0,Placed,9.61
STU0173,57.62,73.79,73.90,63.70,7.40,61.48,60.19,1,0,0,0,63.91,0,Not Placed,0
STU0174,83.82,73.57,87.35,67.84,9.22,80.41,86.19,3,2,0,0,89.00,0,Placed,9.59
STU0175,75.35,88.93,93.32,78.35,8.27,88.60,90.38,2,1,0,0,85.26,0,Placed,8.27
STU0176,50.59,73.89,54.71,55.48,6.62,57.72,71.82,1,1,0,0,62.05,0,Not Placed,0
STU0177,72.78,73.15,84.95,82.57,9.38,80.53,83.66,3,2,0,1,98.20,0,Placed,11.35
STU0178,56.62,52.36,55.81,55.71,6.78,70.00,50.45,0,1,0,0,63.47,1,Not Placed,0
STU0179,94.52,94.97,80.32,67.03,7.70,84.65,80.74,0,0,9,1,90.24,0,Placed,6.37
STU0180,56.90,64.54,66.29,66.42,7.05,65.62,65.66,0,1,0,0,72.23,1,Not Placed,0
STU0181,86.16,73.18,85.80,78.75,9.24,82.43,79.41,1,3,0,0,84.82,0,Placed,8.61
STU0182,71.87,70.68,66.71,41.69,5.86,62.73,54.12,0,1,0,0,73.73,1,Not Placed,0
STU0183,89.75,89.77,88.29,94.02,8.55,77.48,74.34,3,4,0,0,96.40,0,Placed,8.41
STU0184,71.33,73.40,73.34,82.48,7.87,75.25,73.86,2,3,0,2,92.93,0,Placed,7.93
STU0185,89.12,74.32,74.47,77.54,8.85,92.53,82.78,2,1,0,1,89.82,0,Placed,9.77
STU0186,83.04,89.94,76.12,84.10,7.62,88.16,73.32,0,3,0,2,89.61,0,Placed,5.70
STU0187,83.72,92.27,84.04,88.59,8.29,75.68,73.82,1,4,0,2,88.86,0,Placed,6.99
STU0188,59.15,64.16,73.53,42.85,5.84,58.18,62.89,0,0,0,0,75.68,1,Not Placed,0
STU0189,90.22,85.80,94.43,85.88,8.29,92.86,75.44,2,3,0,0,98.68,0,Placed,8.29
STU0190,70.91,68.09,70.89,44.28,6.12,54.95,51.35,0,0,0,0,76.80,0,Not Placed,0
STU0191,78.16,88.80,83.60,78.24,7.90,93.22,72.55,2,4,6,0,95.97,0,Placed,7.53
STU0192,75.10,81.93,90.60,79.36,9.15,90.15,84.59,2,4,0,0,92.96,0,Placed,10.05
STU0193,71.34,60.04,60.28,66.20,5.82,59.40,58.14,1,0,0,0,76.28,0,Not Placed,0
STU0194,93.47,92.00,91.61,66.51,7.75,83.61,85.25,0,3,0,0,97.48,0,Placed,6.78
STU0195,82.74,94.83,86.43,83.22,8.59,81.45,75.54,1,3,5,0,95.31,0,Placed,7.91
STU0196,92.99,89.47,74.23,89.65,7.77,81.64,83.47,3,1,0,2,84.04,0,Placed,7.79
STU0197,71.62,84.61,78.34,75.69,8.73,89.24,85.59,0,0,0,1,91.38,0,Placed,8.53
STU0198,72.35,56.97,60.31,50.82,6.36,50.51,59.41,0,1,0,0,65.42,1,Not Placed,0
STU0199,88.71,85.04,77.65,65.99,9.45,93.75,89.95,1,3,0,0,85.83,0,Placed,9.94
STU0200,56.48,57.43,63.34,55.22,6.97,52.39,65.81,0,1,0,0,66.74,2,Not Placed,0
STU0201,67.95,63.00,58.92,50.95,5.61,58.79,52.24,1,1,0,0,76.60,1,Not Placed,0
STU0202,73.30,75.32,90.17,76.57,8.40,81.28,79.38,3,3,0,2,90.39,0,Placed,9.39
STU0203,79.60,73.44,93.05,75.35,7.88,91.80,73.52,3,2,0,1,92.30,0,Placed,8.85
STU0204,89.29,93.24,72.79,66.47,8.77,87.32,89.03,0,1,10,2,92.06,0,Placed,8.51
STU0205,66.17,69.76,73.65,42.61,7.13,61.26,64.41,1,0,0,0,76.88,0,Not Placed,0
STU0206,57.66,52.63,66.63,46.38,7.23,68.50,68.27,0,0,0,0,76.95,2,Not Placed,0
STU0207,71.25,51.81,59.60,60.05,6.98,61.74,68.03,0,1,0,0,75.89,0,Not Placed,0
STU0208,87.51,87.89,85.38,87.27,8.76,80.70,76.53,3,4,0,0,97.09,0,Placed,10.58
STU0209,62.68,65.67,67.56,66.59,7.68,52.95,54.33,0,1,0,0,78.63,1,Not Placed,0
STU0210,79.28,77.21,86.44,76.70,8.28,76.39,90.43,1,4,3,0,95.16,0,Placed,7.16
STU0211,69.57,57.42,58.75,43.41,7.10,65.41,74.79,0,0,0,0,76.56,1,Not Placed,0
STU0212,55.83,65.85,68.99,49.17,5.92,59.41,74.91,1,1,0,0,73.73,0,Not Placed,0
STU0213,68.64,53.35,55.03,67.52,5.54,52.57,55.65,1,1,0,0,70.52,1,Not Placed,0
STU0214,84.18,74.01,79.60,73.63,8.92,86.84,78.89,2,0,0,2,86.99,0,Placed,9.09
STU0215,91.24,92.00,78.31,90.25,9.50,76.46,84.94,3,3,0,1,83.16,0,Placed,10.55
STU0216,94.28,90.24,93.96,85.65,8.51,77.34,72.64,2,1,10,0,84.26,0,Placed,9.76
STU0217,52.61,70.02,57.94,65.00,7.41,50.78,68.01,1,0,0,0,75.66,1,Not Placed,0
STU0218,86.55,92.08,94.40,78.89,9.25,80.41,90.35,3,4,0,0,85.54,0,Placed,9.73
STU0219,80.24,88.90,74.27,89.34,9.16,78.59,72.49,0,4,0,0,81.76,0,Placed,8.56
STU0220,77.85,77.30,90.70,71.73,9.53,79.23,80.17,1,1,7,1,98.64,0,Placed,9.23
STU0221,53.32,61.21,70.08,67.64,7.51,54.97,69.30,1,0,0,0,78.30,2,Not Placed,0
STU0222,77.04,81.89,75.20,78.73,8.73,75.88,77.74,1,3,0,0,87.85,0,Placed,9.07
STU0223,90.31,89.29,77.29,74.97,9.85,88.64,84.56,0,1,0,2,94.20,0,Placed,9.56
STU0224,51.51,64.65,60.76,61.52,6.77,62.74,66.77,1,1,0,0,76.11,1,Not Placed,0
STU0225,61.22,65.74,68.19,51.71,7.37,58.43,64.71,0,0,0,0,75.80,1,Not Placed,0
STU0226,82.80,90.63,91.92,67.66,9.58,83.99,94.57,0,4,0,0,80.72,0,Placed,8.58
STU0227,70.33,80.00,76.58,94.52,9.19,75.69,88.91,0,3,0,1,92.19,0,Placed,9.62
STU0228,74.92,59.60,73.29,46.10,6.38,67.01,74.81,1,0,0,0,65.93,0,Not Placed,0
STU0229,87.01,74.73,79.91,65.42,9.06,89.53,72.05,2,0,0,0,87.63,0,Placed,8.77
STU0230,70.91,71.03,73.96,94.22,8.19,89.68,88.70,0,4,0,0,85.32,0,Placed,8.09
STU0231,67.85,67.81,60.05,65.27,7.64,66.07,50.16,0,1,0,0,73.69,2,Not Placed,0
STU0232,68.86,60.43,67.32,41.66,6.83,57.70,50.65,0,0,0,0,72.80,1,Not Placed,0
STU0233,55.05,53.18,59.66,46.50,5.78,67.20,51.63,1,0,0,0,63.57,0,Not Placed,0
STU0234,73.03,74.99,64.84,65.80,5.57,50.34,67.47,0,1,0,0,69.57,2,Not Placed,0
STU0235,84.10,94.91,88.37,76.40,9.46,88.10,72.43,3,2,0,1,89.41,0,Placed,10.05
STU0236,51.65,72.95,61.70,67.65,7.38,58.32,74.57,0,0,0,0,71.32,2,Not Placed,0
STU0237,77.49,74.36,89.67,86.86,9.56,89.12,86.32,2,1,0,2,82.36,0,Placed,9.97
STU0238,75.30,94.12,83.79,87.20,8.45,88.34,93.05,3,2,9,0,89.40,0,Placed,8.84
STU0239,85.61,79.99,86.50,78.85,8.15,79.61,71.91,3,2,0,1,97.31,0,Placed,7.83
STU0240,84.44,85.85,81.70,88.35,9.19,85.10,73.45,3,2,0,2,87.70,0,Placed,10.75
STU0241,76.55,81.49,80.72,81.29,7.92,91.84,70.22,0,4,0,1,83.96,0,Placed,7.85
STU0242,56.94,62.90,58.67,48.34,7.63,51.58,73.32,0,1,0,0,72.02,1,Not Placed,0
STU0243,61.91,52.18,50.17,58.79,7.70,58.14,63.25,0,1,0,0,77.23,1,Not Placed,0
STU0244,52.62,51.61,65.25,56.38,6.95,56.08,65.45,1,1,0,0,66.20,0,Not Placed,0
STU0245,78.02,87.02,91.71,68.13,9.73,83.75,90.59,1,2,0,1,84.21,0,Placed,9.62
STU0246,75.72,94.12,71.26,86.94,9.38,79.71,81.73,3,3,0,2,87.39,0,Placed,10.48
STU0247,85.40,76.55,70.74,66.11,8.74,78.34,74.08,2,2,0,1,86.17,0,Placed,9.36
STU0248,80.39,94.79,84.08,93.55,9.53,82.79,71.74,1,4,0,1,81.85,0,Placed,9.68
STU0249,67.74,50.96,59.19,52.76,6.41,63.94,74.12,1,0,0,0,76.96,0,Not Placed,0
